address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"502/14 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,690.0,Melbourne,1,1,345.0
"1209/77 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,660.0,Melbourne,2,2,165.0
"65 Capel St, West Melbourne VIC 3003",1,House,10,650.0,West Melbourne,2,1,216.66666666666666
"606/478 Saint Kilda Road, Melbourne VIC 3004",1,House,12,675.0,Melbourne,2,1,225.0
"526/555 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,680.0,Melbourne,2,1,226.66666666666666
"407/140 Dudley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,640.0,West Melbourne,2,1,213.33333333333334
"603/150 Dudley St, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,640.0,West Melbourne,1,1,320.0
"520/555 St Kilda Rd, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,650.0,Melbourne,2,2,162.5
"P506/348 St Kilda Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,11,650.0,Melbourne,1,1,325.0
"1311/450 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,650.0,Melbourne,1,1,325.0
"5/51 Stawell Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,11,630.0,West Melbourne,2,2,157.5
"1212/65 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,630.0,West Melbourne,2,1,210.0
"402/442 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,650.0,Melbourne,2,2,162.5
"2B/450 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,650.0,Melbourne,2,2,162.5
"1605/105 Batman St, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,630.0,West Melbourne,1,1,315.0
"1205/41 Batman Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,620.0,West Melbourne,2,1,206.66666666666666
"501/302 Collins Street, Melbourne VIC 3004",0,Apartment / Unit / Flat,9,650.0,Melbourne,2,1,216.66666666666666
"911/41 Batman Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,620.0,West Melbourne,2,1,206.66666666666666
